person74	hasAge	v1
v4	lessThan	v30
v4	lessThan	v31
v4	lessThan	v32
v4	lessThan	v33
v4	lessThan	v34
v4	lessThan	v35
v4	lessThan	v36
v4	lessThan	v37
v4	lessThan	v38
v4	lessThan	v39
v4	lessThan	v40
v4	lessThan	v41
v4	lessThan	v42
v4	lessThan	v43
v4	lessThan	v44
v4	lessThan	v45
v4	lessThan	v46
v4	lessThan	v47
v4	lessThan	v48
v4	lessThan	v49
v4	lessThan	v50
v4	lessThan	v51
v4	lessThan	v52
v4	lessThan	v53
v4	lessThan	v54
v4	lessThan	v55
v4	lessThan	v56
v4	lessThan	v57
v4	lessThan	v58
v4	lessThan	v59
v4	lessThan	v60
v4	lessThan	v61
v4	lessThan	v62
v4	lessThan	v63
v4	lessThan	v64
v4	lessThan	v65
v4	lessThan	v66
v4	lessThan	v67
v4	lessThan	v68
v4	lessThan	v69
v4	lessThan	v70
v4	lessThan	v71
v4	lessThan	v72
v4	lessThan	v73
v4	lessThan	v74
v4	lessThan	v75
v4	lessThan	v76
v4	lessThan	v77
v4	lessThan	v78
v4	lessThan	v79
v4	lessThan	v80
v4	lessThan	v81
v4	lessThan	v82
v4	lessThan	v83
v4	lessThan	v84
v4	lessThan	v85
v4	lessThan	v86
v4	lessThan	v87
v4	lessThan	v88
v4	lessThan	v89
v4	lessThan	v90
v4	lessThan	v91
v4	lessThan	v92
v4	lessThan	v93
v4	lessThan	v94
v4	lessThan	v95
v4	lessThan	v96
v4	lessThan	v97
v4	lessThan	v98
v4	lessThan	v99
v4	lessThan	v100
person8	hasAge	v5
v5	lessThan	v6
v5	lessThan	v7
v5	lessThan	v8
v5	lessThan	v9
v5	lessThan	v10
v5	lessThan	v11
v5	lessThan	v12
v5	lessThan	v13
v5	lessThan	v14
v5	lessThan	v15
v5	lessThan	v16
v5	lessThan	v17
v5	lessThan	v18
v5	lessThan	v19
v5	lessThan	v20
v5	lessThan	v21
v5	lessThan	v22
v5	lessThan	v23
v5	lessThan	v24
v5	lessThan	v25
v5	lessThan	v26
v5	lessThan	v27
v5	lessThan	v28
v5	lessThan	v29
v5	lessThan	v30
v5	lessThan	v31
v5	lessThan	v32
v5	lessThan	v33
v5	lessThan	v34
v5	lessThan	v35
v5	lessThan	v36
v5	lessThan	v37
v5	lessThan	v38
v5	lessThan	v39
v5	lessThan	v40
v5	lessThan	v41
v5	lessThan	v42
v5	lessThan	v43
v5	lessThan	v44
v5	lessThan	v45
v5	lessThan	v46
v5	lessThan	v47
v5	lessThan	v48
v5	lessThan	v49
v5	lessThan	v50
v5	lessThan	v51
v5	lessThan	v52
v5	lessThan	v53
v5	lessThan	v54
v5	lessThan	v55
v5	lessThan	v56
v5	lessThan	v57
v5	lessThan	v58
v5	lessThan	v59
v5	lessThan	v60
v5	lessThan	v61
v5	lessThan	v62
v5	lessThan	v63
v5	lessThan	v64
v5	lessThan	v65
v5	lessThan	v66
v5	lessThan	v67
v5	lessThan	v68
v5	lessThan	v69
v5	lessThan	v70
v5	lessThan	v71
v5	lessThan	v72
v5	lessThan	v73
v5	lessThan	v74
v5	lessThan	v75
v5	lessThan	v76
v5	lessThan	v77
v5	lessThan	v78
v5	lessThan	v79
v5	lessThan	v80
v5	lessThan	v81
v5	lessThan	v82
v5	lessThan	v83
v5	lessThan	v84
v5	lessThan	v85
v5	lessThan	v86
v5	lessThan	v87
v5	lessThan	v88
v5	lessThan	v89
v5	lessThan	v90
v5	lessThan	v91
v5	lessThan	v92
v5	lessThan	v93
v5	lessThan	v94
v5	lessThan	v95
v5	lessThan	v96
v5	lessThan	v97
v5	lessThan	v98
v5	lessThan	v99
v5	lessThan	v100
v6	lessThan	v7
v6	lessThan	v8
v6	lessThan	v9
v6	lessThan	v10
v6	lessThan	v11
v6	lessThan	v12
v6	lessThan	v13
v6	lessThan	v14
v6	lessThan	v15
v6	lessThan	v16
v6	lessThan	v17
v6	lessThan	v18
v6	lessThan	v19
v6	lessThan	v20
v6	lessThan	v21
v6	lessThan	v22
v6	lessThan	v23
v6	lessThan	v24
v6	lessThan	v25
v6	lessThan	v26
v6	lessThan	v27
v6	lessThan	v28
v6	lessThan	v29
v6	lessThan	v30
v6	lessThan	v31
v6	lessThan	v32
v6	lessThan	v33
v6	lessThan	v34
v6	lessThan	v35
v6	lessThan	v36
v6	lessThan	v37
v6	lessThan	v38
v6	lessThan	v39
v6	lessThan	v40
v6	lessThan	v41
v6	lessThan	v42
v6	lessThan	v43
v6	lessThan	v44
v6	lessThan	v45
v6	lessThan	v46
v6	lessThan	v47
v6	lessThan	v48
v6	lessThan	v49
v6	lessThan	v50
v6	lessThan	v51
v6	lessThan	v52
v6	lessThan	v53
v6	lessThan	v54
v6	lessThan	v55
v6	lessThan	v56
v6	lessThan	v57
v6	lessThan	v58
v6	lessThan	v59
v6	lessThan	v60
v6	lessThan	v61
v6	lessThan	v62
v6	lessThan	v63
v6	lessThan	v64
v6	lessThan	v65
v6	lessThan	v66
v6	lessThan	v67
v6	lessThan	v68
v6	lessThan	v69
v6	lessThan	v70
v6	lessThan	v71
v6	lessThan	v72
v6	lessThan	v73
v6	lessThan	v74
v6	lessThan	v75
v6	lessThan	v76
v6	lessThan	v77
v6	lessThan	v78
v6	lessThan	v79
v6	lessThan	v80
v6	lessThan	v81
v6	lessThan	v82
v6	lessThan	v83
v6	lessThan	v84
v6	lessThan	v85
v6	lessThan	v86
v6	lessThan	v87
v6	lessThan	v88
v6	lessThan	v89
v6	lessThan	v90
v6	lessThan	v91
v6	lessThan	v92
v6	lessThan	v93
v6	lessThan	v94
v6	lessThan	v95
v6	lessThan	v96
v6	lessThan	v97
v6	lessThan	v98
v6	lessThan	v99
v6	lessThan	v100
v7	lessThan	v8
v7	lessThan	v9
v7	lessThan	v10
v7	lessThan	v11
v7	lessThan	v12
v7	lessThan	v13
v7	lessThan	v14
v7	lessThan	v15
v7	lessThan	v16
v7	lessThan	v17
v7	lessThan	v18
v7	lessThan	v19
v7	lessThan	v20
v7	lessThan	v21
v7	lessThan	v22
v7	lessThan	v23
v7	lessThan	v24
v7	lessThan	v25
v7	lessThan	v26
v7	lessThan	v27
v7	lessThan	v28
v7	lessThan	v29
v7	lessThan	v30
v7	lessThan	v31
v7	lessThan	v32
v7	lessThan	v33
v7	lessThan	v34
v7	lessThan	v35
v7	lessThan	v36
v7	lessThan	v37
v7	lessThan	v38
v7	lessThan	v39
v7	lessThan	v40
v7	lessThan	v41
v7	lessThan	v42
v7	lessThan	v43
v7	lessThan	v44
v7	lessThan	v45
v7	lessThan	v46
v7	lessThan	v47
v7	lessThan	v48
v7	lessThan	v49
v7	lessThan	v50
v7	lessThan	v51
v7	lessThan	v52
v7	lessThan	v53
v7	lessThan	v54
v7	lessThan	v55
v7	lessThan	v56
v7	lessThan	v57
v7	lessThan	v58
v7	lessThan	v59
v7	lessThan	v60
v7	lessThan	v61
v7	lessThan	v62
v7	lessThan	v63
v7	lessThan	v64
v7	lessThan	v65
v7	lessThan	v66
v7	lessThan	v67
v7	lessThan	v68
v7	lessThan	v69
v7	lessThan	v70
v7	lessThan	v71
v7	lessThan	v72
v7	lessThan	v73
v7	lessThan	v74
v7	lessThan	v75
v7	lessThan	v76
v7	lessThan	v77
v7	lessThan	v78
v7	lessThan	v79
v7	lessThan	v80
v7	lessThan	v81
v7	lessThan	v82
v7	lessThan	v83
v7	lessThan	v84
v7	lessThan	v85
v7	lessThan	v86
v7	lessThan	v87
v7	lessThan	v88
v7	lessThan	v89
v7	lessThan	v90
v7	lessThan	v91
v7	lessThan	v92
v7	lessThan	v93
v7	lessThan	v94
v7	lessThan	v95
v7	lessThan	v96
v7	lessThan	v97
v7	lessThan	v98
v7	lessThan	v99
v7	lessThan	v100
person87	hasAge	v8
v8	lessThan	v9
v8	lessThan	v10
v8	lessThan	v11
v8	lessThan	v12
v8	lessThan	v13
v8	lessThan	v14
v8	lessThan	v15
v8	lessThan	v16
v8	lessThan	v17
v8	lessThan	v18
v8	lessThan	v19
v8	lessThan	v20
v8	lessThan	v21
v8	lessThan	v22
v8	lessThan	v23
v8	lessThan	v24
v8	lessThan	v25
v8	lessThan	v26
v8	lessThan	v27
v8	lessThan	v28
v8	lessThan	v29
v8	lessThan	v30
v8	lessThan	v31
v8	lessThan	v32
v8	lessThan	v33
v8	lessThan	v34
v8	lessThan	v35
v8	lessThan	v36
v8	lessThan	v37
v8	lessThan	v38
v8	lessThan	v39
v8	lessThan	v40
v8	lessThan	v41
v8	lessThan	v42
v8	lessThan	v43
v8	lessThan	v44
v8	lessThan	v45
v8	lessThan	v46
v8	lessThan	v47
v8	lessThan	v48
v8	lessThan	v49
v8	lessThan	v50
v8	lessThan	v51
v8	lessThan	v52
v8	lessThan	v53
v8	lessThan	v54
v8	lessThan	v55
v8	lessThan	v56
v8	lessThan	v57
v8	lessThan	v58
v8	lessThan	v59
v8	lessThan	v60
v8	lessThan	v61
v8	lessThan	v62
v8	lessThan	v63
v8	lessThan	v64
v8	lessThan	v65
v8	lessThan	v66
v8	lessThan	v67
v8	lessThan	v68
v8	lessThan	v69
v8	lessThan	v70
v8	lessThan	v71
v8	lessThan	v72
v8	lessThan	v73
v8	lessThan	v74
v8	lessThan	v75
v8	lessThan	v76
v8	lessThan	v77
v8	lessThan	v78
v8	lessThan	v79
v8	lessThan	v80
v8	lessThan	v81
v8	lessThan	v82
v8	lessThan	v83
v8	lessThan	v84
v8	lessThan	v85
v8	lessThan	v86
v8	lessThan	v87
v8	lessThan	v88
v8	lessThan	v89
v8	lessThan	v90
v8	lessThan	v91
v8	lessThan	v92
v8	lessThan	v93
v8	lessThan	v94
v8	lessThan	v95
v8	lessThan	v96
v8	lessThan	v97
v8	lessThan	v98
v8	lessThan	v99
v8	lessThan	v100
v9	lessThan	v10
v9	lessThan	v11
v9	lessThan	v12
v9	lessThan	v13
v9	lessThan	v14
v9	lessThan	v15
v9	lessThan	v16
v9	lessThan	v17
v9	lessThan	v18
v9	lessThan	v19
v9	lessThan	v20
v9	lessThan	v21
v9	lessThan	v22
v9	lessThan	v23
v9	lessThan	v24
v9	lessThan	v25
v9	lessThan	v26
v9	lessThan	v27
v9	lessThan	v28
v9	lessThan	v29
v9	lessThan	v30
v9	lessThan	v31
v9	lessThan	v32
v9	lessThan	v33
v9	lessThan	v34
v9	lessThan	v35
v9	lessThan	v36
v9	lessThan	v37
v9	lessThan	v38
v9	lessThan	v39
v9	lessThan	v40
v9	lessThan	v41
v9	lessThan	v42
v9	lessThan	v43
v9	lessThan	v44
v9	lessThan	v45
v9	lessThan	v46
v9	lessThan	v47
v9	lessThan	v48
v9	lessThan	v49
v9	lessThan	v50
v9	lessThan	v51
v9	lessThan	v52
v9	lessThan	v53
v9	lessThan	v54
v9	lessThan	v55
v9	lessThan	v56
v9	lessThan	v57
v9	lessThan	v58
v9	lessThan	v59
v9	lessThan	v60
v9	lessThan	v61
v9	lessThan	v62
v9	lessThan	v63
v9	lessThan	v64
v9	lessThan	v65
v9	lessThan	v66
v9	lessThan	v67
v9	lessThan	v68
v9	lessThan	v69
v9	lessThan	v70
v9	lessThan	v71
v9	lessThan	v72
v9	lessThan	v73
v9	lessThan	v74
v9	lessThan	v75
v9	lessThan	v76
v9	lessThan	v77
v9	lessThan	v78
v9	lessThan	v79
v9	lessThan	v80
v9	lessThan	v81
v9	lessThan	v82
v9	lessThan	v83
v9	lessThan	v84
v9	lessThan	v85
v9	lessThan	v86
v9	lessThan	v87
v9	lessThan	v88
v9	lessThan	v89
v9	lessThan	v90
v9	lessThan	v91
v9	lessThan	v92
v9	lessThan	v93
v9	lessThan	v94
v9	lessThan	v95
v9	lessThan	v96
v9	lessThan	v97
v9	lessThan	v98
v9	lessThan	v99
v9	lessThan	v100
person53	hasAge	v10
v10	lessThan	v11
v10	lessThan	v12
v10	lessThan	v13
v10	lessThan	v14
v10	lessThan	v15
v10	lessThan	v16
v10	lessThan	v17
v10	lessThan	v18
v10	lessThan	v19
v10	lessThan	v20
v10	lessThan	v21
v10	lessThan	v22
v10	lessThan	v23
v10	lessThan	v24
v10	lessThan	v25
v10	lessThan	v26
v10	lessThan	v27
v10	lessThan	v28
v10	lessThan	v29
v10	lessThan	v30
v10	lessThan	v31
v10	lessThan	v32
v10	lessThan	v33
v10	lessThan	v34
v10	lessThan	v35
v10	lessThan	v36
v10	lessThan	v37
v10	lessThan	v38
v10	lessThan	v39
v10	lessThan	v40
v10	lessThan	v41
v10	lessThan	v42
v10	lessThan	v43
v10	lessThan	v44
v10	lessThan	v45
v10	lessThan	v46
v10	lessThan	v47
v10	lessThan	v48
v10	lessThan	v49
v10	lessThan	v50
v10	lessThan	v51
v10	lessThan	v52
v10	lessThan	v53
v10	lessThan	v54
v10	lessThan	v55
v10	lessThan	v56
v10	lessThan	v57
v10	lessThan	v58
v10	lessThan	v59
v10	lessThan	v60
v10	lessThan	v61
v10	lessThan	v62
v10	lessThan	v63
v10	lessThan	v64
v10	lessThan	v65
v10	lessThan	v66
v10	lessThan	v67
v10	lessThan	v68
v10	lessThan	v69
v10	lessThan	v70
v10	lessThan	v71
v10	lessThan	v72
v10	lessThan	v73
v10	lessThan	v74
v10	lessThan	v75
v10	lessThan	v76
v10	lessThan	v77
v10	lessThan	v78
v10	lessThan	v79
v10	lessThan	v80
v10	lessThan	v81
v10	lessThan	v82
v10	lessThan	v83
v10	lessThan	v84
v10	lessThan	v85
v10	lessThan	v86
v10	lessThan	v87
v10	lessThan	v88
v10	lessThan	v89
v10	lessThan	v90
v10	lessThan	v91
v10	lessThan	v92
v10	lessThan	v93
v10	lessThan	v94
v10	lessThan	v95
v10	lessThan	v96
v10	lessThan	v97
v10	lessThan	v98
v10	lessThan	v99
v10	lessThan	v100
person85	hasAge	v11
v11	lessThan	v12
v11	lessThan	v13
v11	lessThan	v14
v11	lessThan	v15
v11	lessThan	v16
v11	lessThan	v17
v11	lessThan	v18
v11	lessThan	v19
v11	lessThan	v20
v11	lessThan	v21
v11	lessThan	v22
v11	lessThan	v23
v11	lessThan	v24
v11	lessThan	v25
v11	lessThan	v26
v11	lessThan	v27
v11	lessThan	v28
v11	lessThan	v29
v11	lessThan	v30
v11	lessThan	v31
v11	lessThan	v32
v11	lessThan	v33
v11	lessThan	v34
v11	lessThan	v35
v11	lessThan	v36
v11	lessThan	v37
v11	lessThan	v38
v11	lessThan	v39
v11	lessThan	v40
v11	lessThan	v41
v11	lessThan	v42
v11	lessThan	v43
v11	lessThan	v44
v11	lessThan	v45
v11	lessThan	v46
v11	lessThan	v47
v11	lessThan	v48
v11	lessThan	v49
v11	lessThan	v50
v11	lessThan	v51
v11	lessThan	v52
v11	lessThan	v53
v11	lessThan	v54
v11	lessThan	v55
v11	lessThan	v56
v11	lessThan	v57
v11	lessThan	v58
v11	lessThan	v59
v11	lessThan	v60
v11	lessThan	v61
v11	lessThan	v62
v11	lessThan	v63
v11	lessThan	v64
v11	lessThan	v65
v11	lessThan	v66
v11	lessThan	v67
v11	lessThan	v68
v11	lessThan	v69
v11	lessThan	v70
v11	lessThan	v71
v11	lessThan	v72
v11	lessThan	v73
v11	lessThan	v74
v11	lessThan	v75
v11	lessThan	v76
v11	lessThan	v77
v11	lessThan	v78
v11	lessThan	v79
v11	lessThan	v80
v11	lessThan	v81
v11	lessThan	v82
v11	lessThan	v83
v11	lessThan	v84
v11	lessThan	v85
v11	lessThan	v86
v11	lessThan	v87
v11	lessThan	v88
v11	lessThan	v89
v11	lessThan	v90
v11	lessThan	v91
v11	lessThan	v92
v11	lessThan	v93
v11	lessThan	v94
v11	lessThan	v95
v11	lessThan	v96
v11	lessThan	v97
v11	lessThan	v98
v11	lessThan	v99
v11	lessThan	v100
person57	hasAge	v12
v12	lessThan	v13
v12	lessThan	v14
v12	lessThan	v15
v12	lessThan	v16
v12	lessThan	v17
v12	lessThan	v18
v12	lessThan	v19
v12	lessThan	v20
v12	lessThan	v21
v12	lessThan	v22
v12	lessThan	v23
v12	lessThan	v24
v12	lessThan	v25
v12	lessThan	v26
v12	lessThan	v27
v12	lessThan	v28
v12	lessThan	v29
v12	lessThan	v30
v12	lessThan	v31
v12	lessThan	v32
v12	lessThan	v33
v12	lessThan	v34
v12	lessThan	v35
v12	lessThan	v36
v12	lessThan	v37
v12	lessThan	v38
v12	lessThan	v39
v12	lessThan	v40
v12	lessThan	v41
v12	lessThan	v42
v12	lessThan	v43
v12	lessThan	v44
v12	lessThan	v45
v12	lessThan	v46
v12	lessThan	v47
v12	lessThan	v48
v12	lessThan	v49
v12	lessThan	v50
v12	lessThan	v51
v12	lessThan	v52
v12	lessThan	v53
v12	lessThan	v54
v12	lessThan	v55
v12	lessThan	v56
v12	lessThan	v57
v12	lessThan	v58
v12	lessThan	v59
v12	lessThan	v60
v12	lessThan	v61
v12	lessThan	v62
v12	lessThan	v63
v12	lessThan	v64
v12	lessThan	v65
v12	lessThan	v66
v12	lessThan	v67
v12	lessThan	v68
v12	lessThan	v69
v12	lessThan	v70
v12	lessThan	v71
v12	lessThan	v72
v12	lessThan	v73
v12	lessThan	v74
v12	lessThan	v75
v12	lessThan	v76
v12	lessThan	v77
v12	lessThan	v78
v12	lessThan	v79
v12	lessThan	v80
v12	lessThan	v81
v12	lessThan	v82
v12	lessThan	v83
v12	lessThan	v84
v12	lessThan	v85
v12	lessThan	v86
v12	lessThan	v87
v12	lessThan	v88
v12	lessThan	v89
v12	lessThan	v90
v12	lessThan	v91
v12	lessThan	v92
v12	lessThan	v93
v12	lessThan	v94
v12	lessThan	v95
v12	lessThan	v96
v12	lessThan	v97
v12	lessThan	v98
v12	lessThan	v99
v12	lessThan	v100
v13	lessThan	v14
v13	lessThan	v15
v13	lessThan	v16
v13	lessThan	v17
v13	lessThan	v18
v13	lessThan	v19
v13	lessThan	v20
v13	lessThan	v21
v13	lessThan	v22
v13	lessThan	v23
v13	lessThan	v24
v13	lessThan	v25
v13	lessThan	v26
v13	lessThan	v27
v13	lessThan	v28
v13	lessThan	v29
v13	lessThan	v30
v13	lessThan	v31
v13	lessThan	v32
v13	lessThan	v33
v13	lessThan	v34
v13	lessThan	v35
v13	lessThan	v36
v13	lessThan	v37
v13	lessThan	v38
v13	lessThan	v39
v13	lessThan	v40
v13	lessThan	v41
v13	lessThan	v42
v13	lessThan	v43
v13	lessThan	v44
v13	lessThan	v45
v13	lessThan	v46
v13	lessThan	v47
v13	lessThan	v48
v13	lessThan	v49
v13	lessThan	v50
v13	lessThan	v51
v13	lessThan	v52
v13	lessThan	v53
v13	lessThan	v54
v13	lessThan	v55
v13	lessThan	v56
v13	lessThan	v57
v13	lessThan	v58
v13	lessThan	v59
v13	lessThan	v60
v13	lessThan	v61
v13	lessThan	v62
v13	lessThan	v63
v13	lessThan	v64
v13	lessThan	v65
v13	lessThan	v66
v13	lessThan	v67
v13	lessThan	v68
v13	lessThan	v69
v13	lessThan	v70
v13	lessThan	v71
v13	lessThan	v72
v13	lessThan	v73
v13	lessThan	v74
v13	lessThan	v75
v13	lessThan	v76
v13	lessThan	v77
v13	lessThan	v78
v13	lessThan	v79
v13	lessThan	v80
v13	lessThan	v81
v13	lessThan	v82
v13	lessThan	v83
v13	lessThan	v84
v13	lessThan	v85
v13	lessThan	v86
v13	lessThan	v87
v13	lessThan	v88
v13	lessThan	v89
v13	lessThan	v90
v13	lessThan	v91
v13	lessThan	v92
v13	lessThan	v93
v13	lessThan	v94
v13	lessThan	v95
v13	lessThan	v96
v13	lessThan	v97
v13	lessThan	v98
v13	lessThan	v99
v13	lessThan	v100
v14	lessThan	v15
v14	lessThan	v16
v14	lessThan	v17
v14	lessThan	v18
v14	lessThan	v19
v14	lessThan	v20
v14	lessThan	v21
v14	lessThan	v22
v14	lessThan	v23
v14	lessThan	v24
v14	lessThan	v25
v14	lessThan	v26
v14	lessThan	v27
v14	lessThan	v28
v14	lessThan	v29
v14	lessThan	v30
v14	lessThan	v31
v14	lessThan	v32
v14	lessThan	v33
v14	lessThan	v34
v14	lessThan	v35
v14	lessThan	v36
v14	lessThan	v37
v14	lessThan	v38
v14	lessThan	v39
v14	lessThan	v40
v14	lessThan	v41
v14	lessThan	v42
v14	lessThan	v43
v14	lessThan	v44
v14	lessThan	v45
v14	lessThan	v46
v14	lessThan	v47
v14	lessThan	v48
v14	lessThan	v49
v14	lessThan	v50
v14	lessThan	v51
v14	lessThan	v52
v14	lessThan	v53
v14	lessThan	v54
v14	lessThan	v55
v14	lessThan	v56
v14	lessThan	v57
v14	lessThan	v58
v14	lessThan	v59
v14	lessThan	v60
v14	lessThan	v61
v14	lessThan	v62
v14	lessThan	v63
v14	lessThan	v64
v14	lessThan	v65
v14	lessThan	v66
v14	lessThan	v67
v14	lessThan	v68
