model,run,window_condition,removal_percent,n_age_literals,spearman_rho_raw,spearman_p_raw,kendall_tau_raw,kendall_p_raw,spearman_abs,kendall_abs,spearman_oriented,kendall_oriented
distmult,without_windows_removed_99pct,without_windows,99.0,100,-0.06111011101110111,0.5458549792991495,-0.04161616161616163,0.5395510323770452,0.06111011101110111,0.04161616161616163,0.06111011101110111,0.04161616161616163
transd,with_windows_original,with_windows,0.0,100,0.9778697869786978,2.151398182724827e-68,0.8735353535353537,6.035200007223198e-38,0.9778697869786978,0.8735353535353537,0.9778697869786978,0.8735353535353537
transd,without_windows_original,without_windows,0.0,100,0.9863666366636662,1.2927620951468487e-78,0.9042424242424244,1.5479234688702569e-40,0.9863666366636662,0.9042424242424244,0.9863666366636662,0.9042424242424244
transd,with_windows_removed_25pct,with_windows,25.0,100,0.9805460546054604,4.143969582393263e-71,0.8832323232323234,9.376898733299054e-39,0.9805460546054604,0.8832323232323234,0.9805460546054604,0.8832323232323234
transd,without_windows_removed_25pct,without_windows,25.0,100,0.985154515451545,8.158850716143692e-77,0.8977777777777779,5.5279632600903716e-40,0.985154515451545,0.8977777777777779,0.985154515451545,0.8977777777777779
transd,with_windows_removed_50pct,with_windows,50.0,100,-0.9776297629762976,3.629168393248644e-68,-0.8715151515151516,8.872503805094469e-38,0.9776297629762976,0.8715151515151516,0.9776297629762976,0.8715151515151516
transd,without_windows_removed_50pct,without_windows,50.0,100,-0.9772817281728171,7.669088223239134e-68,-0.873939393939394,5.5869503160088e-38,0.9772817281728171,0.873939393939394,0.9772817281728171,0.873939393939394
transd,with_windows_removed_75pct,with_windows,75.0,100,-0.9787698769876988,2.8733634381267265e-69,-0.8735353535353537,6.035200007223198e-38,0.9787698769876988,0.8735353535353537,0.9787698769876988,0.8735353535353537
transd,without_windows_removed_75pct,without_windows,75.0,100,-0.9800420042004199,1.4340725983189006e-70,-0.8840404040404042,8.021856638179088e-39,0.9800420042004199,0.8840404040404042,0.9800420042004199,0.8840404040404042
transd,with_windows_removed_99pct,with_windows,99.0,100,0.9782898289828982,8.496927236319709e-69,0.8719191919191921,8.214968900322461e-38,0.9782898289828982,0.8719191919191921,0.9782898289828982,0.8719191919191921
transd,without_windows_removed_99pct,without_windows,99.0,100,0.984122412241224,2.1444954140242583e-75,0.8961616161616163,7.588503899205682e-40,0.984122412241224,0.8961616161616163,0.984122412241224,0.8961616161616163
transr,with_windows_original,with_windows,0.0,100,0.1818301830183018,0.07020803487545035,0.1094949494949495,0.10649721485887682,0.1818301830183018,0.1094949494949495,0.1818301830183018,0.1094949494949495
transr,without_windows_original,without_windows,0.0,100,-0.3209720972097209,0.0011300606717064563,-0.216969696969697,0.0013814576441913433,0.3209720972097209,0.216969696969697,0.3209720972097209,0.216969696969697
transr,with_windows_removed_25pct,with_windows,25.0,100,-0.1517071707170717,0.131878877567874,-0.1090909090909091,0.1077950909596686,0.1517071707170717,0.1090909090909091,0.1517071707170717,0.1090909090909091
transr,without_windows_removed_25pct,without_windows,25.0,100,-0.058577857785778564,0.5626489981532374,-0.04242424242424243,0.5317055927661436,0.058577857785778564,0.04242424242424243,0.058577857785778564,0.04242424242424243
transr,with_windows_removed_50pct,with_windows,50.0,100,-0.07882388238823883,0.4356600975388697,-0.05292929292929294,0.4352339690087502,0.07882388238823883,0.05292929292929294,0.07882388238823883,0.05292929292929294
transr,without_windows_removed_50pct,without_windows,50.0,100,0.3525472547254725,0.00032144877997715107,0.24040404040404043,0.0003941665708616591,0.3525472547254725,0.24040404040404043,0.3525472547254725,0.24040404040404043
transr,with_windows_removed_75pct,with_windows,75.0,100,-0.8402400240024,8.468486247882976e-28,-0.6367676767676769,6.171938964126169e-21,0.8402400240024,0.6367676767676769,0.8402400240024,0.6367676767676769
transr,without_windows_removed_75pct,without_windows,75.0,100,-0.24834083408340832,0.012726020055557456,-0.1446464646464647,0.03297959439884376,0.24834083408340832,0.1446464646464647,0.24834083408340832,0.1446464646464647
transr,with_windows_removed_99pct,with_windows,99.0,100,-0.021986198619861983,0.8281117038106067,-0.017373737373737378,0.7978596896618764,0.021986198619861983,0.017373737373737378,0.021986198619861983,0.017373737373737378
transr,without_windows_removed_99pct,without_windows,99.0,100,-0.0891209120912091,0.37790622320245193,-0.05818181818181819,0.39105944638573975,0.0891209120912091,0.05818181818181819,0.0891209120912091,0.05818181818181819
mure,with_windows_original,with_windows,0.0,100,-0.9909390939093908,2.9130170132790107e-87,-0.9305050505050507,8.009287178398512e-43,0.9909390939093908,0.9305050505050507,0.9909390939093908,0.9305050505050507
mure,without_windows_original,without_windows,0.0,100,-0.9915151515151513,1.1814158386029423e-88,-0.9284848484848486,1.2071213901045492e-42,0.9915151515151513,0.9284848484848486,0.9915151515151513,0.9284848484848486
mure,with_windows_removed_25pct,with_windows,25.0,100,0.9863186318631862,1.5339969548064185e-78,0.9103030303030304,4.655025976079112e-41,0.9863186318631862,0.9103030303030304,0.9863186318631862,0.9103030303030304
mure,without_windows_removed_25pct,without_windows,25.0,100,0.9878667866786678,4.427982774110337e-81,0.9143434343434346,2.0802792758826377e-41,0.9878667866786678,0.9143434343434346,0.9878667866786678,0.9143434343434346
mure,with_windows_removed_50pct,with_windows,50.0,100,-0.9885508550855084,2.6199739804603918e-82,-0.9179797979797981,1.004594783941848e-41,0.9885508550855084,0.9179797979797981,0.9885508550855084,0.9179797979797981
mure,without_windows_removed_50pct,without_windows,50.0,100,-0.9794539453945392,5.867719609782242e-70,-0.8856565656565658,5.8684363744565764e-39,0.9794539453945392,0.8856565656565658,0.9794539453945392,0.8856565656565658
mure,with_windows_removed_75pct,with_windows,75.0,100,-0.9816741674167416,2.2792420673287117e-72,-0.8933333333333334,1.3193212053302416e-39,0.9816741674167416,0.8933333333333334,0.9816741674167416,0.8933333333333334
mure,without_windows_removed_75pct,without_windows,75.0,100,0.9894749474947493,4.334071282465158e-84,0.9195959595959596,7.262562887218971e-42,0.9894749474947493,0.9195959595959596,0.9894749474947493,0.9195959595959596
mure,with_windows_removed_99pct,with_windows,99.0,100,0.9866186618661865,5.212427598995641e-79,0.9135353535353536,2.444580455864882e-41,0.9866186618661865,0.9135353535353536,0.9866186618661865,0.9135353535353536
mure,without_windows_removed_99pct,without_windows,99.0,100,0.9873267326732673,3.693020899109876e-80,0.913939393939394,2.255125166131426e-41,0.9873267326732673,0.913939393939394,0.9873267326732673,0.913939393939394
