removal_rank,head,relation,tail,first_removed_percent,seed,nested_removals
86,person4,hasAge,v16,50.0,42,True
87,person56,hasAge,v10,50.0,42,True
88,person9,hasAge,v71,50.0,42,True
89,person30,hasAge,v61,50.0,42,True
90,person118,hasAge,v89,50.0,42,True
91,person19,hasAge,v30,50.0,42,True
92,person195,hasAge,v36,50.0,42,True
93,person196,hasAge,v73,50.0,42,True
94,person95,hasAge,v50,50.0,42,True
95,person51,hasAge,v78,50.0,42,True
96,person122,hasAge,v32,50.0,42,True
97,person90,hasAge,v13,50.0,42,True
98,person150,hasAge,v91,50.0,42,True
99,person119,hasAge,v54,50.0,42,True
100,person151,hasAge,v25,50.0,42,True
101,person88,hasAge,v89,75.0,42,True
102,person42,hasAge,v4,75.0,42,True
103,person21,hasAge,v15,75.0,42,True
104,person104,hasAge,v91,75.0,42,True
105,person41,hasAge,v50,75.0,42,True
106,person153,hasAge,v49,75.0,42,True
107,person162,hasAge,v64,75.0,42,True
108,person146,hasAge,v61,75.0,42,True
109,person69,hasAge,v99,75.0,42,True
110,person185,hasAge,v66,75.0,42,True
111,person121,hasAge,v90,75.0,42,True
112,person28,hasAge,v60,75.0,42,True
113,person5,hasAge,v16,75.0,42,True
114,person173,hasAge,v23,75.0,42,True
115,person80,hasAge,v86,75.0,42,True
116,person38,hasAge,v69,75.0,42,True
117,person92,hasAge,v76,75.0,42,True
118,person193,hasAge,v64,75.0,42,True
119,person87,hasAge,v64,75.0,42,True
120,person37,hasAge,v11,75.0,42,True
121,person63,hasAge,v36,75.0,42,True
122,person82,hasAge,v34,75.0,42,True
123,person168,hasAge,v5,75.0,42,True
124,person78,hasAge,v36,75.0,42,True
125,person126,hasAge,v82,75.0,42,True
126,person3,hasAge,v60,75.0,42,True
127,person177,hasAge,v39,75.0,42,True
128,person143,hasAge,v31,75.0,42,True
129,person158,hasAge,v25,75.0,42,True
130,person106,hasAge,v42,75.0,42,True
131,person18,hasAge,v44,75.0,42,True
132,person117,hasAge,v19,75.0,42,True
133,person125,hasAge,v43,75.0,42,True
134,person187,hasAge,v56,75.0,42,True
135,person154,hasAge,v99,75.0,42,True
136,person25,hasAge,v79,75.0,42,True
137,person181,hasAge,v12,75.0,42,True
138,person192,hasAge,v90,75.0,42,True
139,person159,hasAge,v73,75.0,42,True
140,person85,hasAge,v33,75.0,42,True
141,person184,hasAge,v27,75.0,42,True
142,person70,hasAge,v77,75.0,42,True
143,person109,hasAge,v9,75.0,42,True
144,person108,hasAge,v24,75.0,42,True
145,person97,hasAge,v43,75.0,42,True
146,person135,hasAge,v33,75.0,42,True
147,person74,hasAge,v71,75.0,42,True
148,person190,hasAge,v10,75.0,42,True
149,person24,hasAge,v46,75.0,42,True
150,person152,hasAge,v15,75.0,42,True
151,person170,hasAge,v68,99.0,42,True
152,person93,hasAge,v57,99.0,42,True
153,person148,hasAge,v6,99.0,42,True
154,person36,hasAge,v31,99.0,42,True
155,person60,hasAge,v39,99.0,42,True
156,person130,hasAge,v42,99.0,42,True
157,person123,hasAge,v12,99.0,42,True
158,person89,hasAge,v48,99.0,42,True
159,person43,hasAge,v91,99.0,42,True
160,person178,hasAge,v94,99.0,42,True
161,person160,hasAge,v37,99.0,42,True
162,person197,hasAge,v90,99.0,42,True
163,person15,hasAge,v19,99.0,42,True
164,person165,hasAge,v84,99.0,42,True
165,person0,hasAge,v38,99.0,42,True
166,person55,hasAge,v92,99.0,42,True
167,person49,hasAge,v19,99.0,42,True
168,person128,hasAge,v2,99.0,42,True
169,person102,hasAge,v32,99.0,42,True
170,person107,hasAge,v76,99.0,42,True
171,person48,hasAge,v55,99.0,42,True
172,person141,hasAge,v26,99.0,42,True
173,person136,hasAge,v52,99.0,42,True
174,person1,hasAge,v95,99.0,42,True
175,person12,hasAge,v83,99.0,42,True
176,person124,hasAge,v24,99.0,42,True
177,person91,hasAge,v72,99.0,42,True
178,person139,hasAge,v97,99.0,42,True
179,person94,hasAge,v77,99.0,42,True
180,person114,hasAge,v64,99.0,42,True
181,person61,hasAge,v28,99.0,42,True
182,person105,hasAge,v26,99.0,42,True
183,person99,hasAge,v12,99.0,42,True
184,person58,hasAge,v5,99.0,42,True
185,person145,hasAge,v5,99.0,42,True
186,person172,hasAge,v52,99.0,42,True
187,person157,hasAge,v76,99.0,42,True
188,person79,hasAge,v12,99.0,42,True
189,person176,hasAge,v69,99.0,42,True
190,person183,hasAge,v88,99.0,42,True
191,person40,hasAge,v13,99.0,42,True
192,person52,hasAge,v94,99.0,42,True
193,person111,hasAge,v17,99.0,42,True
194,person44,hasAge,v27,99.0,42,True
195,person149,hasAge,v29,99.0,42,True
196,person84,hasAge,v32,99.0,42,True
197,person134,hasAge,v94,99.0,42,True
198,person100,hasAge,v4,99.0,42,True
199,person132,hasAge,v13,,42,True
200,person73,hasAge,v82,,42,True
