removal_rank,head,relation,tail,first_removed_percent,seed,nested_removals
181,person61,hasAge,v28,,42,True
182,person105,hasAge,v26,,42,True
183,person99,hasAge,v12,,42,True
184,person58,hasAge,v5,,42,True
185,person145,hasAge,v5,,42,True
186,person172,hasAge,v52,,42,True
187,person157,hasAge,v76,,42,True
188,person79,hasAge,v12,,42,True
189,person176,hasAge,v69,,42,True
190,person183,hasAge,v88,,42,True
191,person40,hasAge,v13,,42,True
192,person52,hasAge,v94,,42,True
193,person111,hasAge,v17,,42,True
194,person44,hasAge,v27,,42,True
195,person149,hasAge,v29,,42,True
196,person84,hasAge,v32,,42,True
197,person134,hasAge,v94,,42,True
198,person100,hasAge,v4,,42,True
199,person132,hasAge,v13,,42,True
200,person73,hasAge,v82,,42,True
